"filename", "language", "XML", "Batch", "Markdown", "Java", "Java Properties", "comment", "blank", "total"
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 76, 0, 31, 11, 118
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\mvnw.cmd", "Batch", 0, 68, 0, 0, 0, 45, 32, 145
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\pom.xml", "XML", 19, 0, 0, 0, 0, 0, 3, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\runs\run1.md", "Markdown", 0, 0, 256, 0, 0, 0, 111, 367
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\runs\run2.md", "Markdown", 0, 0, 191, 0, 0, 0, 74, 265
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\original\Device.java", "Java", 0, 0, 0, 5, 0, 0, 4, 9
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\original\Stereo.java", "Java", 0, 0, 0, 14, 0, 0, 4, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\original\TV.java", "Java", 0, 0, 0, 17, 0, 0, 6, 23
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\AdjustVolumeCommand.java", "Java", 0, 0, 0, 18, 0, 0, 5, 23
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\ChangeChannelCommand.java", "Java", 0, 0, 0, 12, 0, 0, 4, 16
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\Command.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\Main.java", "Java", 0, 0, 0, 22, 0, 3, 9, 34
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\Main2.java", "Java", 0, 0, 0, 23, 0, 5, 10, 38
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\RemoteControl.java", "Java", 0, 0, 0, 19, 0, 1, 7, 27
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\RemoteControl2.java", "Java", 0, 0, 0, 17, 0, 0, 6, 23
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\RemoteControlDemo.java", "Java", 0, 0, 0, 31, 0, 4, 9, 44
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\TurnOffCommand.java", "Java", 0, 0, 0, 12, 0, 0, 5, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run1\TurnOnCommand.java", "Java", 0, 0, 0, 12, 0, 0, 5, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run2\Command.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run2\RemoteControl.java", "Java", 0, 0, 0, 10, 0, 2, 4, 16
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run2\RemoteControlTest.java", "Java", 0, 0, 0, 23, 0, 4, 6, 33
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run2\TurnOffCommand.java", "Java", 0, 0, 0, 12, 0, 0, 5, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\src\main\java\run2\TurnOnCommand.java", "Java", 0, 0, 0, 12, 0, 0, 5, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\original\Device.class", "Java", 0, 0, 0, 3, 0, 0, 0, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\original\Stereo.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\original\TV.class", "Java", 0, 0, 0, 14, 0, 0, 0, 14
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\AdjustVolumeCommand.class", "Java", 0, 0, 0, 16, 0, 0, 0, 16
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\ChangeChannelCommand.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\Command.class", "Java", 0, 0, 0, 2, 0, 0, 0, 2
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\Main.class", "Java", 0, 0, 0, 14, 0, 0, 1, 15
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\Main2.class", "Java", 0, 0, 0, 22, 0, 0, 0, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\RemoteControl.class", "Java", 0, 0, 0, 16, 0, 0, 0, 16
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\RemoteControl2.class", "Java", 0, 0, 0, 22, 0, 0, 0, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\RemoteControlDemo.class", "Java", 0, 0, 0, 14, 0, 0, 1, 15
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\TurnOffCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run1\TurnOnCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run2\Command.class", "Java", 0, 0, 0, 2, 0, 0, 0, 2
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run2\RemoteControl.class", "Java", 0, 0, 0, 11, 0, 0, 0, 11
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run2\RemoteControlTest.class", "Java", 0, 0, 0, 18, 0, 0, 0, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run2\TurnOffCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\classes\run2\TurnOnCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e2\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 3, 2, 1, 6
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 76, 0, 31, 11, 118
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\mvnw.cmd", "Batch", 0, 68, 0, 0, 0, 45, 32, 145
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\pom.xml", "XML", 13, 0, 0, 0, 0, 0, 4, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\runs\run1.md", "Markdown", 0, 0, 525, 0, 0, 0, 156, 681
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\runs\run2.md", "Markdown", 0, 0, 402, 0, 0, 0, 113, 515
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\original\CreditCard.java", "Java", 0, 0, 0, 19, 0, 3, 6, 28
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\original\CreditCardPayment.java", "Java", 0, 0, 0, 33, 0, 7, 9, 49
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\original\Order.java", "Java", 0, 0, 0, 26, 0, 0, 7, 33
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\original\PayPalPayment.java", "Java", 0, 0, 0, 49, 0, 6, 9, 64
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\CashPayment.java", "Java", 0, 0, 0, 12, 0, 2, 3, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\CreditCardPayment.java", "Java", 0, 0, 0, 39, 0, 1, 7, 47
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\Order.java", "Java", 0, 0, 0, 25, 0, 0, 6, 31
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\PayPalPayment.java", "Java", 0, 0, 0, 50, 0, 0, 9, 59
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\PaymentMethod.java", "Java", 0, 0, 0, 5, 0, 0, 1, 6
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run1\PaymentProcessingApplication.java", "Java", 0, 0, 0, 39, 0, 2, 15, 56
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\CashPayment.java", "Java", 0, 0, 0, 14, 0, 2, 4, 20
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\CreditCardPayment.java", "Java", 0, 0, 0, 33, 0, 0, 7, 40
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\Order.java", "Java", 0, 0, 0, 28, 0, 0, 6, 34
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\PayPalPayment.java", "Java", 0, 0, 0, 52, 0, 0, 8, 60
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\Payment.java", "Java", 0, 0, 0, 5, 0, 0, 2, 7
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\src\main\java\run2\PaymentSystemDemo.java", "Java", 0, 0, 0, 33, 0, 6, 11, 50
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\original\CreditCard.class", "Java", 0, 0, 0, 10, 0, 0, 0, 10
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\original\CreditCardPayment.class", "Java", 0, 0, 0, 23, 0, 0, 0, 23
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\original\Order.class", "Java", 0, 0, 0, 19, 0, 0, 0, 19
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\original\PayPalPayment.class", "Java", 0, 0, 0, 29, 0, 0, 0, 29
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\CashPayment.class", "Java", 0, 0, 0, 11, 0, 0, 0, 11
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\CreditCardPayment.class", "Java", 0, 0, 0, 21, 0, 0, 0, 21
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\Order.class", "Java", 0, 0, 0, 17, 0, 0, 0, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\PayPalPayment.class", "Java", 0, 0, 0, 27, 0, 0, 0, 27
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\PaymentMethod.class", "Java", 0, 0, 0, 2, 0, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run1\PaymentProcessingApplication.class", "Java", 0, 0, 0, 26, 0, 0, 0, 26
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\CashPayment.class", "Java", 0, 0, 0, 10, 0, 0, 0, 10
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\CreditCardPayment.class", "Java", 0, 0, 0, 20, 0, 0, 0, 20
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\Order.class", "Java", 0, 0, 0, 18, 0, 0, 0, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\PayPalPayment.class", "Java", 0, 0, 0, 30, 0, 0, 0, 30
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\Payment.class", "Java", 0, 0, 0, 2, 0, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\classes\run2\PaymentSystemDemo.class", "Java", 0, 0, 0, 22, 0, 0, 0, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e1\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 3, 2, 1, 6
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 76, 0, 31, 11, 118
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\mvnw.cmd", "Batch", 0, 68, 0, 0, 0, 45, 32, 145
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\pom.xml", "XML", 19, 0, 0, 0, 0, 0, 5, 24
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\runs\run1.md", "Markdown", 0, 0, 152, 0, 0, 0, 55, 207
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\runs\run2.md", "Markdown", 0, 0, 156, 0, 0, 0, 58, 214
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\strategy\strategy-e2\src\main\java\original\ChristmasDiscounter.java", "Java", 0, 0, 0, 7, 0, 0, 3, 10
